Symbol,GICS Sector,environmentScore,socialScore,governanceScore,totalEsg,highestControversy,marketCap,beta
HOLX,Health Care,4.57,12.08,8.35,25,1,19208910848,0.984
HON,Industrials,10.99,10.59,7.04,28.62,3,1.32689E+11,1.027
HPE,Information Technology,0.95,4.14,5.6,10.69,2,23635793920,1.203
HPQ,Information Technology,0.11,5.05,6.09,11.26,2,33170137088,1.083
HRL,Consumer Staples,13.31,10.68,6,30,3,17838264320,0.248
HSIC,Health Care,2,5.67,6.28,13.95,2,9026677760,0.861
HST,Real Estate,3.25,4.58,5.52,13.35,1,24961603584,1.341
HSY,Consumer Staples,10.52,10.4,5.14,26.05,3,40621432832,0.361
HUBB,Industrials,5.6,9.09,4.91,19.6,0,22078416896,0.898
HUM,Health Care,0.01,16.71,5.74,22.47,2,37954166784,0.509
IBM,Information Technology,1.78,6.22,6.14,14.14,2,1.97245E+11,0.693
ICE,Financials,1.7,9.25,8.82,19.78,1,93476061184,1.091
IDXX,Health Care,2.62,7.1,8.94,18.66,1,42162847744,1.332
IEX,Industrials,10.28,13.72,5.34,29.34,0,15495729152,0.949
IFF,Materials,10.49,5.57,6.63,22.69,3,26644783104,1.233
INCY,Health Care,1.06,16.3,7.41,24.76,1,12794285056,0.735
INTC,Information Technology,4.93,7.32,6.62,18.87,3,91805720576,1.02
INTU,Information Technology,0.97,10.7,4.73,16.41,2,1.81139E+11,1.243
IP,Materials,15.15,4.5,4.81,24.47,3,17309921280,1.01
IPG,Communication Services,0.04,5,5.28,10.32,1,11729707008,1.084
IQV,Health Care,1.3,10.62,7.22,19.14,2,43748352000,1.498
IRM,Real Estate,5,3.74,5.76,14.5,2,34669355008,1.026
ISRG,Health Care,3.65,9.58,7.84,21.07,1,1.74618E+11,1.395
IT,Information Technology,0.11,13.17,5.64,18.93,1,39306534912,1.323
ITW,Industrials,7,11.78,6.52,25.29,2,75748122624,1.112
IVZ,Financials,0.73,11.02,11.04,22.79,2,7470531584,1.423
J,Industrials,5.29,11.46,5.62,22.37,3,18008506368,0.721
JBHT,Industrials,3.28,6.55,5,14.82,1,17132796928,1.153
JCI,Industrials,4.49,4.55,5.39,14.43,3,48678182912,1.3
JKHY,Financials,4.32,8.66,5.68,18.66,0,12909138944,0.638
JNJ,Health Care,0.92,15.02,8.03,23.98,4,4.02178E+11,0.519
JNPR,Information Technology,1.82,7.2,5.8,14.82,1,12847232000,0.921
JPM,Financials,1.11,16.45,11.7,29.26,3,5.9535E+11,1.105
K,Consumer Staples,10.64,13.35,4.38,28.37,2,27749677056,0.394
KEY,Financials,1.59,9.16,10.66,21.42,1,15378881536,1.238
KEYS,Information Technology,1.2,1.75,4.65,7.6,1,26116489216,0.974
KHC,Consumer Staples,13.49,14.05,6.17,33.7,3,42366164992,0.478
KIM,Real Estate,2.35,2.58,5.97,10.9,0,16219149312,1.492
KLAC,Information Technology,7.41,5.13,4.64,17.19,0,99420717056,1.276
KMB,Consumer Staples,10.43,10.4,7.64,28.48,2,48567140352,0.403
KMI,Energy,8.28,7.19,3.49,18.96,2,47851556864,0.921
KMX,Consumer Discretionary,0.09,8.02,3.99,12.1,2,12391112704,1.688
KO,Consumer Staples,7.23,9.54,4.86,21.63,3,3.09449E+11,0.609
KR,Consumer Staples,6.55,9.12,5.6,21.27,3,40625352704,0.46
L,Financials,0.59,4.25,11.53,16.38,2,17404710912,0.818
LDOS,Industrials,3.37,9.03,5.25,17.65,2,20855037952,0.704
LEN,Consumer Discretionary,11.26,8.55,5.55,25.36,2,50908487680,1.609
LH,Health Care,0.43,12.71,6.6,19.74,2,19060506624,1.041
LKQ,Consumer Discretionary,3.8,4,3.27,11.07,2,10751375360,1.283
LLY,Health Care,2.54,12.6,9.14,24.28,2,8.15948E+11,0.422
LMT,Industrials,7.96,15.11,7.11,30.18,3,1.3656E+11,0.469
LNT,Utilities,8.54,6.55,6.28,21.36,0,15520779264,0.57
LOW,Consumer Discretionary,3.31,5.31,3.17,11.78,2,1.45636E+11,1.09
LRCX,Information Technology,4.5,3.97,5.14,13.61,1,99490209792,1.483
LULU,Consumer Discretionary,1.58,9.86,5.5,16.94,2,32572626944,1.253
LUV,Industrials,11.04,13.69,5.95,30.67,2,17099948032,1.162
LVS,Consumer Discretionary,2.3,7.72,8.67,18.69,2,30488285184,1.113
LYB,Materials,13.5,2.1,5.09,20.69,2,30880202752,1.082
MA,Financials,2.15,6.66,8.27,17.07,4,4.62832E+11,1.103
MAA,Real Estate,3.9,2.95,6.25,13.09,1,19992911872,0.873
MAR,Consumer Discretionary,8.55,9.16,3.72,21.43,3,66329636864,1.591
MAS,Industrials,9.73,5.64,6.82,22.19,1,17732730880,1.247
MCD,Consumer Discretionary,7.56,12.56,5.84,25.95,3,2.1072E+11,0.724
MCHP,Information Technology,15.25,9.16,7.4,31.82,1,41310883840,1.519
MCK,Health Care,1.65,7.28,6.29,15.23,3,67408543744,0.441
MCO,Financials,1.61,6.09,8.12,15.82,2,88281661440,1.29
MDLZ,Consumer Staples,7.23,9.39,5.41,22.02,3,1.00893E+11,0.548
MDT,Health Care,1.78,13.43,7.57,22.77,3,1.13677E+11,0.854
MET,Financials,0.69,6.96,8.77,16.43,2,54821441536,1.029
META,Communication Services,2.71,21.09,10.29,34.08,4,1.35678E+12,1.213
MGM,Consumer Discretionary,1.3,12.97,10.49,24.76,2,11303280640,2.236
MHK,Consumer Discretionary,5.75,4.19,4.19,14.14,2,9834908672,1.375
MKC,Consumer Staples,9.63,11.09,5.35,26.07,2,22768777216,0.758
MLM,Materials,16.68,4.77,8.67,30.12,2,32638973952,0.908
MMC,Financials,0.09,11.31,9.67,21.07,2,1.13679E+11,0.937
MMM,Industrials,17.22,13.59,6.54,37.35,5,73377218560,0.995
MNST,Consumer Staples,12.07,12.04,5.11,29.23,2,50022043648,0.737
MO,Consumer Staples,6.1,17.64,7.58,31.32,3,86164111360,0.687
MOS,Materials,13.87,11.05,8.6,33.52,2,8173065216,1.363
MPC,Energy,17.09,8.15,5.25,30.49,3,54844665856,1.364
MRK,Health Care,1.85,10.64,8.9,21.39,3,2.99843E+11,0.401
MRO,Energy,21.07,9.05,7.6,37.72,2,15304718336,2.169
MS,Financials,1.14,12.91,10.53,24.58,2,1.61931E+11,1.357
MSCI,Financials,1.57,6.97,7.74,16.27,1,44539666432,1.111
MSFT,Information Technology,1.46,7.53,6.07,15.06,3,3.23449E+12,0.896
MSI,Information Technology,2.26,5.07,5.8,13.13,1,73940533248,0.977
MTB,Financials,2.63,10.32,13.58,26.53,1,29028114432,0.744
MTD,Health Care,1,7.41,4.69,13.1,0,29563645952,1.139
MU,Information Technology,7.23,5.46,5.49,18.18,2,98387369984,1.176
NCLH,Consumer Discretionary,8.97,10.9,6.08,25.94,2,8688294912,2.712
NDAQ,Financials,0.03,5.63,7.43,13.09,1,42128486400,0.962
NDSN,Industrials,8.18,11.61,5.1,24.89,1,14591575040,0.902
NEE,Utilities,9.38,8.3,5.6,23.27,2,1.74643E+11,0.551
NEM,Materials,7.05,8.24,5.22,20.52,3,60940009472,0.513
NFLX,Communication Services,0.09,7.31,9.01,16.41,2,3.03381E+11,1.262
NI,Utilities,11.98,9.17,4.87,26.02,3,15419760640,0.504
NKE,Consumer Discretionary,2.98,9.99,6.65,19.61,3,1.20908E+11,1.014
NOC,Industrials,7.79,14.37,5.37,27.53,2,76233113600,0.337
NOW,Information Technology,3.99,6.04,6.57,16.59,0,1.83719E+11,0.987
NRG,Utilities,16.8,9.5,5.69,31.97,2,16782821376,1.085
NSC,Industrials,8.02,10.48,5.42,23.92,3,55861764096,1.307
NTAP,Information Technology,2.19,7.74,5.5,15.43,1,24377368576,1.219
NTRS,Financials,1.87,11.83,10.17,23.86,2,18278486016,1.096
NUE,Materials,9.3,14.72,8.8,32.82,2,33929832448,1.563
NVDA,Information Technology,2.3,4.95,6.34,13.59,2,2.83542E+12,1.673
NVR,Consumer Discretionary,7.21,7.82,5.24,20.27,1,29192695808,1.187
NWSA,Communication Services,0.02,4.74,6.72,11.47,2,15057525760,1.358
NXPI,Information Technology,8.58,5.45,5.81,19.84,1,59243253760,1.497
O,Real Estate,4.41,5.32,5.74,15.47,2,54585954304,0.992
OKE,Energy,10.83,11.01,3.31,25.15,1,55288446976,1.634
OMC,Communication Services,0.09,9.33,6.86,16.28,1,19903373312,0.964
ON,Information Technology,11.79,5.69,4.95,22.43,1,30593183744,1.656
ORCL,Information Technology,0.5,7.79,5.6,13.89,2,4.64054E+11,1
ORLY,Consumer Discretionary,0.14,8.15,3.76,12.05,1,65588211712,0.924
OXY,Energy,24.98,9.7,6.97,41.66,2,47697215488,1.605
PANW,Information Technology,0.7,7.62,5.6,13.92,1,1.12694E+11,1.132
PARA,Communication Services,0.11,7.51,7.37,14.99,3,7424509952,1.77
PAYX,Industrials,3.21,7.16,6.36,16.73,1,48633491456,0.993
PCAR,Industrials,8.36,10.99,8.3,27.64,3,51368513536,0.901
PCG,Utilities,9.58,15.38,5.42,30.38,4,52330303488,1.017
PEG,Utilities,12.48,9.28,5.46,27.23,2,42229178368,0.623
PEP,Consumer Staples,7.27,9.63,5.16,22.06,3,2.42943E+11,0.541
PFE,Health Care,2.12,12.85,9.63,24.59,3,1.69038E+11,0.617
PFG,Financials,0.81,5.82,7.56,14.19,1,19411369984,1.192
PG,Consumer Staples,9.6,12.23,6.74,28.57,3,4.13267E+11,0.407
PGR,Financials,1.45,8.5,10.07,20.02,2,1.50497E+11,0.353
PH,Industrials,9.46,13.78,6.24,29.48,2,77822435328,1.431
PHM,Consumer Discretionary,9.19,7.31,4.92,21.42,2,29148821504,1.627
PKG,Materials,13.96,1.06,3.62,18.64,1,19272724480,0.786
PLD,Real Estate,2.74,2.5,5.03,10.27,1,1.19702E+11,1.083
PM,Consumer Staples,3.42,13.54,11.49,28.45,3,1.91598E+11,0.578
PNC,Financials,1.94,13.29,10.83,26.07,3,72141553664,1.128
PNR,Industrials,5.97,10.01,6.07,22.06,1,15541917696,1.191
PNW,Utilities,14.72,10.23,5.84,30.79,1,10374980608,0.516
PPG,Materials,10.98,7.7,6.54,25.21,2,29736417280,1.25
PPL,Utilities,17.08,8.9,5.33,31.32,2,24110428160,0.835
PRU,Financials,0.64,10.01,9.25,19.91,1,42368761856,1.286
PSA,Real Estate,4.74,2.61,5.7,13.05,1,63529824256,0.67
PSX,Energy,20.76,8.82,5.85,35.43,3,53702402048,1.322
PTC,Information Technology,4.92,8.61,5.37,18.9,0,21107718144,1.177
PWR,Industrials,12.15,15.73,9.04,36.91,2,40356634624,1.009
PYPL,Financials,2.83,9.19,5.75,17.77,2,73372622848,1.438
QCOM,Information Technology,5.34,4.5,5.55,15.39,3,1.87932E+11,1.284
QRVO,Information Technology,12.32,8.5,7.7,28.52,0,9529769984,1.457
RCL,Consumer Discretionary,8.15,7.68,4.88,20.71,3,43694575616,2.621
REG,Real Estate,3.72,3.21,4.77,11.71,0,13652682752,1.218
REGN,Health Care,0.34,10.96,6.74,18.04,2,1.27109E+11,0.122
RF,Financials,1.82,6.67,8.36,16.85,2,20617766912,1.188
RJF,Financials,2.35,11.23,13.44,27.02,2,24853202944,1.03
RL,Consumer Discretionary,1.22,7.79,5.62,14.62,2,11238284288,1.502
RMD,Health Care,3.54,12.41,10.43,26.39,1,36993007616,0.691
ROK,Industrials,5.37,6.64,5.65,17.67,2,29864515584,1.363
ROL,Industrials,1.76,10.63,6.92,19.31,1,24893739008,0.697
ROP,Information Technology,4.67,9.67,6.09,20.44,0,59662757888,1.022
ROST,Consumer Discretionary,1.79,10.76,5.68,18.23,2,50816126976,1.092
RSG,Industrials,11.19,6.02,3.7,20.91,3,64497053696,0.707
RVTY,Health Care,0.75,10.1,5.85,16.7,2,15145726976,1.046
SBAC,Real Estate,3.11,3.23,5.23,11.58,0,26340440064,0.664
SBUX,Consumer Discretionary,5.79,14.62,4.27,24.67,3,1.09286E+11,0.96
SCHW,Financials,2.39,8.95,11.94,23.28,2,1.16511E+11,0.964
SHW,Materials,14.31,9.2,5.85,29.35,2,95620767744,1.168
SJM,Consumer Staples,12.89,11.99,5.57,30.45,2,12862360576,0.232
SLB,Energy,8.08,6.29,5.91,20.28,1,58923360256,1.528
SNA,Industrials,9,13.91,7.62,30.53,2,14827014144,0.974
SNPS,Information Technology,3.34,6.93,4.16,14.42,0,77152632832,1.078
SO,Utilities,14.68,11,7.3,32.98,2,98390876160,0.509
SPG,Real Estate,3.83,3.99,6.15,13.98,1,61818773504,1.769
SPGI,Financials,0,6.22,6.82,13.04,1,1.6507E+11,1.177
SRE,Utilities,10.86,7.85,4.88,23.59,2,53152604160,0.759
STLD,Materials,10.56,14.36,8.06,32.98,1,17666150400,1.327
STT,Financials,1.61,12.95,9.52,24.08,1,25887369216,1.495
STX,Information Technology,1.59,3.8,5.26,10.66,1,21484713984,1.058
STZ,Consumer Staples,9.45,10.04,5.18,24.66,2,46082215936,0.873
SWK,Industrials,5,12.51,7.8,25.31,2,15857777664,1.236
SWKS,Information Technology,11.82,8.93,7.21,27.95,1,15532438528,1.204
SYF,Financials,0.13,9.89,7.25,17.28,2,19441215488,1.612
SYK,Health Care,3.99,13.24,11.03,28.26,2,1.41745E+11,0.919
SYY,Consumer Staples,5.42,6.05,4.47,15.95,2,38230503424,1.198
T,Communication Services,3.26,13.94,6.72,23.91,3,1.56168E+11,0.733
TAP,Consumer Staples,7.25,8.61,5.51,21.37,2,11506942976,0.814
