Symbol,GICS Sector,environmentScore,socialScore,governanceScore,totalEsg,highestControversy,marketCap,beta,avg_return,volatility,momentum_6m,volatility_norm,totalEsg_norm,risk_score,risk_class
CHRW,Industrials,4.73,9.29,5.3,19.32,1.0,11764709376,0.825,0.0005003735101944909,0.018701129631438218,0.14654412423372262,0.3627415379696604,0.35396182764603823,0.476060191723381,Medium
CHTR,Communication Services,6.05,10.72,7.95,24.72,2.0,49012998144,1.051,0.00029744515014764033,0.02258460722920134,0.017448393368899355,0.49582836745537623,0.5101214574898786,0.4934484374772743,Medium
CI,Health Care,0.02,5.99,5.65,11.65,2.0,102552567808,0.509,0.000422571038457825,0.016857297181394646,0.1254509928891995,0.2995533751177561,0.13215731636784273,0.5268690985235166,High
CINF,Financials,1.76,10.97,12.88,25.61,1.0,21433022464,0.671,0.0007769881473063062,0.015288059980506492,0.3174694352935151,0.24577559514613007,0.5358588779641411,0.33312180590202156,Medium
CL,Consumer Staples,8.32,11.31,6.54,26.17,2.0,86145523712,0.399,0.0007592040263867519,0.009654686227654,0.3458865625753551,0.05271980089949191,0.5520532099479468,0.21081059656051643,Low
CLX,Consumer Staples,7.72,8.59,5.31,21.63,2.0,20554795008,0.393,0.00036723925178439883,0.015015623031689787,0.11282162007244118,0.23643917724747615,0.4207634470792365,0.37355812751679107,Medium
CMCSA,Communication Services,3.96,10.9,8.23,23.09,2.0,152111792128,1.01,0.00036179330329208617,0.014609956974932172,0.11245431639916598,0.22253699602852411,0.4629843840370156,0.3483284440023082,Medium
CME,Financials,2.13,6.48,9.19,17.8,1.0,78691844096,0.561,0.0006491461315577354,0.011227056155235147,0.2769458975442066,0.10660493945700378,0.3100057836899942,0.33996065019820454,Medium
CMG,Consumer Discretionary,6.79,9.59,4.27,20.66,2.0,80114573312,1.256,0.0018663863960952049,0.017329573436472387,1.0450286353386649,0.3157382887286618,0.3927125506072875,0.43235795299428204,Medium
CMI,Industrials,5.62,7.74,5.94,19.3,2.0,41332305920,0.975,0.0007422480765180992,0.01528169038200894,0.29791741958828744,0.24555730891998467,0.3533834586466166,0.4059810018933442,Medium
CMS,Utilities,9.61,6.84,5.24,21.7,2.0,21054464000,0.403,0.00022105670865153174,0.011882631517038472,0.06480466181987218,0.12907151591971094,0.4227877385772123,0.3083278141209417,Medium
CNC,Health Care,0.09,13.28,6.51,19.89,2.0,40278089728,0.484,0.00010658476666164015,0.016396239076368942,-0.011412039843160157,0.28375290765995315,0.37044534412955465,0.4220736069441501,Medium
CNP,Utilities,12.92,10.67,5.14,28.73,2.0,18456739840,0.913,-0.0001101551240805906,0.012680931611489614,-0.0764546775951637,0.1564292708890832,0.6260844418739155,0.24342378578388368,Low
COF,Financials,0.13,12.28,10.09,22.5,3.0,55399669760,1.447,0.001271914488943873,0.01872993534580908,0.5804021807742215,0.3637287101884205,0.4459224985540775,0.43986822669142134,Medium
COO,Health Care,2.7,8.8,5.96,17.47,2.0,22152052736,0.981,0.000697352440439035,0.01575613046156903,0.2712517215902972,0.2618163768249914,0.3004626951995373,0.43690474801518,Medium
COP,Energy,17.57,8.07,8.28,33.91,2.0,125751771136,1.228,0.00014085807678724299,0.015964488661838562,0.005922897389299635,0.2689568151494442,0.7758820127241179,0.25102128400001933,Low
COR,Health Care,1.57,5.53,5.65,12.75,3.0,47284768768,0.441,0.0009602129156657191,0.010520855936918025,0.4582142377166929,0.08240344848095649,0.16396761133603238,0.38385502455416093,Medium
COST,Consumer Staples,6.52,11.22,5.55,23.29,3.0,402490195968,0.788,0.001699311887503542,0.012142994249873968,0.9687169239455334,0.13799415027436035,0.4687680740312319,0.29528926055212346,Low
CPB,Consumer Staples,10.87,8.15,4.47,23.5,2.0,15393454080,0.175,-0.00020254027987175185,0.013496561941648274,-0.11530248139266043,0.18438093326914384,0.4748409485251591,0.3206921805514227,Medium
CPRT,Industrials,1.48,8.96,5.59,16.03,1.0,48807755776,1.271,0.0013908824354884348,0.013066247182001533,0.7233973274774275,0.16963404067079857,0.2588201272411799,0.39825237350600723,Medium
CPT,Real Estate,4.0,3.93,8.17,16.09,1.0,13321857024,0.916,0.00040193688644271674,0.01460533798182841,0.13118898268007517,0.22237870307275936,0.26055523423944477,0.4292051281478777,Medium
CRM,Information Technology,2.01,7.48,5.39,14.88,1.0,243961643008,1.297,0.0017307310353649255,0.02076185998376792,0.8763911276673165,0.4333627948489361,0.22556390977443613,0.5697921129995871,High
CSCO,Information Technology,0.45,6.9,6.51,13.87,2.0,201970843648,0.819,0.00020579601810745256,0.012538695369373017,0.05423450903834232,0.1515548329594904,0.1963562753036437,0.4123903896542368,Medium
